title,industry,release_year,imdb_rating,studio,budget,revenue,unit,currency,language,duration_minutes,genre,oscar_nominations,oscar_wins,streaming_platform
Sky Warriors,Hollywood,2018,8.1,Vision Studios,120,650,Millions,USD,English,142,Action,3,1,Netflix
Dark Orbit,Hollywood,2020,8.7,Galaxy Pictures,180,980,Millions,USD,English,165,Sci-Fi,7,3,Prime Video
Silent Echo,Hollywood,2016,7.4,Blue Moon Films,60,240,Millions,USD,English,118,Drama,1,0,Netflix
The Last Frontier,Hollywood,2022,8.9,Galaxy Pictures,220,1300,Millions,USD,English,172,Adventure,9,4,Disney+
Code Breakers,Hollywood,2019,7.8,Tech Cinema,90,450,Millions,USD,English,135,Thriller,2,0,Hulu
Kingdom Rise,Bollywood,2017,8.2,Royal Productions,70,520,Millions,INR,Hindi,158,Historical,2,0,Netflix
Dream Chasers,Bollywood,2021,7.5,Star Films,45,190,Millions,INR,Hindi,132,Drama,0,0,Prime Video
Mission Mumbai,Bollywood,2023,8.4,Action House,100,780,Millions,INR,Hindi,150,Action,1,0,Netflix
Love Forever,Bollywood,2018,6.9,Star Films,30,120,Millions,INR,Hindi,125,Romance,0,0,Zee5
Race of Destiny,Bollywood,2015,5.8,Fast Track Studios,55,80,Millions,INR,Hindi,138,Action,0,0,Hotstar
Empire of Fire,Tollywood,2020,8.6,Arka Entertainment,180,1500,Millions,INR,Telugu,168,Action,3,1,Hotstar
Legend Reborn,Tollywood,2019,8.0,South Star Studios,90,650,Millions,INR,Telugu,154,Drama,1,0,Aha
Warrior Prince,Tollywood,2022,8.8,Arka Entertainment,220,2100,Millions,INR,Telugu,175,Historical,5,2,Netflix
City Hunter,Tollywood,2018,7.2,Urban Films,50,180,Millions,INR,Telugu,128,Thriller,0,0,Aha
Shadow Strike,Tollywood,2021,7.9,South Star Studios,75,420,Millions,INR,Telugu,145,Action,1,0,Hotstar
Ocean's Secret,Hollywood,2014,8.3,Blue Moon Films,110,700,Millions,USD,English,149,Mystery,4,1,Prime Video
The Forgotten Path,Hollywood,2017,7.1,Vision Studios,55,160,Millions,USD,English,121,Drama,0,0,Hulu
Future Protocol,Hollywood,2023,9.1,Tech Cinema,250,1800,Millions,USD,English,178,Sci-Fi,10,5,Netflix
Victory Road,Bollywood,2020,8.0,Royal Productions,65,410,Millions,INR,Hindi,146,Sports,1,0,SonyLIV
Golden Crown,Tollywood,2016,7.7,South Star Studios,85,500,Millions,INR,Telugu,151,Adventure,2,0,Aha
